"","id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","host","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collId","recordId","references"
"133300","5478713","N/A","","","HumanObservation","","12800","","Fungi","Fungi Incertae Sedis","Tremellomycetes","Tremellales","Tremellaceae","Tremella mesenterica","313682","Schumach.","Tremella","mesenterica","","","","","","","","","","Fungimap Recorder Number: 49","","","","2002-06-25","2002","6","25","176","","25/6/2002","Habitat: Eucalyptus camaldulensis open woodland; steep gorge Substrate: on wood Host: Eucalyptus camaldulensis River Red Gum Further Comments: Fungimap Coordinators Conference - Post Conference Foray","Eucalyptus camaldulensis open woodland; steep gorge","","","","","","","","","","","","","","","","","","Australia","South Australia","","","Mount Remarkable NP: Alligator Gorge","","0","","-32.60138888888889","138.2411111111111","","50","-32.60138888888889, 138.2411111111111","","","","","GPS Device Unknown","","","","","","400.0","","","","2018-08-23 19:17:58","965b140e-b67e-4753-99a1-50707973a76f","105","urn:uuid:9e2f8e36-fcc3-4a10-b8d5-a1ad41d7a470","http://mycoportal.org/portal/collections/individual/index.php?occid=5478713"
"126584","5471715","N/A","","","HumanObservation","","987522","","Fungi","Fungi Incertae Sedis","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps gunnii","151733","(Berk.) Berk.","Cordyceps","gunnii","","","","","","","","","","Ratkowsky, D. David","","","","2004-05-14","2004","5","14","135","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-41.30000355131799","147.36666656531935","","100","530697.0, 5427874.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","8d3d4dd6-0328-4ef8-9839-a453eb4f6aef","105","urn:uuid:fa6b8fb3-0fa6-4704-b77c-f3c010e67b34","http://mycoportal.org/portal/collections/individual/index.php?occid=5471715"
"16170","6967583","iNaturalist","Observations","","Human Observation","https://www.inaturalist.org/observations/13770520","13770520","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Omphalotaceae","Marasmiellus affixus","185418","(Berk.) Singer","Marasmiellus","affixus","","","","2018-06-25T14:12:21Z","","","","","","morganchloe84","","","","2018-06-03","2018","6","3","154","","Sun Jun 03 2018 14:08:46 GMT+1000 (GMT+10)","","","","","<a href='https://www.inaturalist.org/observations/13770520' target='_blank' style='color: blue;'> Original observation #13770520 (iNaturalist)</a>","","","","","","","","","","","","","","","Australia","Victoria","","","Wombat Forest, , VIC, AU","","0","","-37.474797","144.2856","","5","","","","","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","preprocessed","2018-06-26 08:08:01","13770520","86","urn:uuid:6f86170e-d54b-4fc8-a8df-fab19c229616","http://mycoportal.org/portal/collections/individual/index.php?occid=6967583"
"36119","5377601","N/A","","","HumanObservation","","69220","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","15179","(Fr.) Fr.","Inocybe","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-12-12","2002","12","12","346","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-43.199986","146.866676","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","144e09c0-7a41-41c8-a7ca-537dbb02ce65","105","urn:uuid:0f39cae2-8955-4637-9a71-c21d5f5b811b","http://mycoportal.org/portal/collections/individual/index.php?occid=5377601"
"27470","5368609","N/A","","","HumanObservation","","GR142407","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Fomitopsidaceae","Postia dissecta","389894","(Cooke) Rajchenb.","Postia","dissecta","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2005-06-14","2005","6","14","165","","Tue Jun 14 00:00:00 EST 2005","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","North West Bay River","","0","","-42.949992","147.200005","","","-42.949992, 147.200005","","","","","","","","","","","","","","","2018-08-23 19:17:58","08a84b24-d727-461a-9d2a-5e6ed497884d","105","urn:uuid:e675340e-45b0-4592-ab12-5f97805eaba4","http://mycoportal.org/portal/collections/individual/index.php?occid=5368609"
"40187","5381823","N/A","","","HumanObservation","","106011","","","","","","","Fungi","7","","","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2003-04-19","2003","4","19","109","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.06666","146.150001","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","19af5bb7-18bd-44ff-bb3b-d4f86cf555e0","105","urn:uuid:4a7aff6b-a90c-483b-8c07-6788518f5cd7","http://mycoportal.org/portal/collections/individual/index.php?occid=5381823"
"16124","6967326","iNaturalist","Observations","","Human Observation","https://www.inaturalist.org/observations/13732040","13732040","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Polyporaceae","Trametes versicolor","189955","(L.) Lloyd","Trametes","versicolor","","","","2018-06-24T12:07:37Z","","","","","","Reiner Richter","","","","2018-06-24","2018","6","24","175","","2018/06/24 11:39 AM AEST","","","","","<a href='https://www.inaturalist.org/observations/13732040' target='_blank' style='color: blue;'> Original observation #13732040 (iNaturalist)</a>","","","","","","","","","","","","","","","Australia","Victoria","","","Toolangi VIC 3777, Australia","","0","","-37.526601","145.520622","","100","","","","","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","preprocessed","2018-06-25 04:00:24","13732040","86","urn:uuid:62fe8130-abb9-4070-86c5-6a31e0bfb34e","http://mycoportal.org/portal/collections/individual/index.php?occid=6967326"
"202705","5554131","N/A","","","HumanObservation","","63639","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Agaricaceae","Leucocoprinus birnbaumii","185192","(Corda) Singer","Leucocoprinus","birnbaumii","","","","","","","","","","Fungimap Recorder Number: 1580","","","","2014-02-18","2014","2","18","49","","18/2/2014","Habitat: In a pot plant. Substrate: Host: Further Comments: Came up overnight after 8 inches (200mm) of rain.","","","","","","","","","","","","","","","","","","","Australia","Queensland","","","Deeragun, Dundabella Drive.","","0","","-19.25611111111111","146.67083333333332","","1000","-19.25611111111111, 146.67083333333332","","","","","","","","","","","","","","","2018-08-23 19:17:58","f6ecfb10-e4dd-4df8-9f63-354501359a51","105","urn:uuid:a3696e07-e6d6-4e3b-b94b-396231e0a973","http://mycoportal.org/portal/collections/individual/index.php?occid=5554131"
"109217","5453665","N/A","","","HumanObservation","","1011118","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Marasmiaceae","Marasmiellus affixus","185418","(Berk.) Singer","Marasmiellus","affixus","","","","","","","","","","Ratkowsky, D. David","","","","2005-05-06","2005","5","6","126","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.683332426255014","146.69999648227846","","100","475422.0, 5274306.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","7633f0dd-181c-4189-a70b-65caa31c76b7","105","urn:uuid:d176665c-9cd0-4c71-808e-0fa70d482ca7","http://mycoportal.org/portal/collections/individual/index.php?occid=5453665"
"135970","5481486","N/A","","","HumanObservation","","GR135041","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","15538","","Lepiota","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2004-05-22","2004","5","22","143","","Sat May 22 00:00:00 EST 2004","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Fortescue Bay","","0","","-43.149988","147.950009","","","-43.149988, 147.950009","","","","","","","","","","","","","","","2018-08-23 19:17:58","99e97845-205b-4a32-bce9-c674e946a0bc","105","urn:uuid:5bd1d95f-69ba-4e52-8df4-242efc8fc6c2","http://mycoportal.org/portal/collections/individual/index.php?occid=5481486"
"149720","5495815","N/A","","","HumanObservation","","60776","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Strophariaceae","Gymnopilus ferruginosus","232966","B.J. Rees","Gymnopilus","ferruginosus","","","","","","","","","","Fungimap Recorder Number:","","","","2005-05-04","2005","5","4","124","","4/5/2005","Habitat: 0 Substrate: Host: Further Comments:","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Western Explorer Highway, Middleton Creek crossing","","0","","-42.899987","147.250003","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","ac1fd2f1-5671-47f1-a3da-2e77dbaaf85c","105","urn:uuid:42b492b9-8e8b-4247-b56b-9b11f97781c1","http://mycoportal.org/portal/collections/individual/index.php?occid=5495815"
"50954","5393042","N/A","","","HumanObservation","","52428","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Physalacriaceae","Hymenopellis radicata","639425","(Relhan) R.H. Petersen","Hymenopellis","radicata","","","","","","","","","","Fungimap Recorder Number: 534","","","","2011-03-13","2011","3","13","72","","13/3/2011","Habitat: Remnant Rainforest Substrate: in earth Host: Further Comments: several individual specimens","","","","","","","","","","","","","","","","","","","Australia","New South Wales","","","Cowdroy Creek Rainforest","","0","","-36.183611111111105","150.06694444444443","","50","-36.183611111111105, 150.06694444444443","","","","","","","","","","","","","","","2018-08-23 19:17:58","2809a2c7-5cb2-46a9-ac39-1cbf4f0d4289","105","urn:uuid:d2425974-5ce4-418d-9ab5-b8ef5cd15022","http://mycoportal.org/portal/collections/individual/index.php?occid=5393042"
"7553","1210186","BPI","","","PreservedSpecimen","","BPI 329074","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Russulales","Stereaceae","Stereum hirsutum","189498","(Willd.) Pers.","Stereum","hirsutum","","","Lloyd C. G.","","","","","","","Flockton Margaret","","","","","","","","","","","","","","Substrate Undetermined","","","","","","","","","","","","","","","Box","Australia","","","","Gladesville, New South Wales","","0","","-33.833","151.05","","","","GeoLocate (Medium Precision, Uncertainty Unavailable)","","","","","","","","","","","","","preprocessed","2019-02-14 14:51:47","BPI 329074","24","urn:uuid:be021b75-5457-4965-9f8f-adbde26e3564","http://mycoportal.org/portal/collections/individual/index.php?occid=1210186"
"102996","5447206","N/A","","","HumanObservation","","32899","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Inocybaceae","Tubaria rufofulva","441285","(Cleland) D.A. Reid & E. Horak","Tubaria","rufofulva","","","","","","","","","","Fungimap Recorder Number: 720","","","","2002-06-11","2002","6","11","162","","11/6/2002","Habitat: Unburnt 25 year old Eucalyptus diversicolor regrowth forest Substrate: Wood Host: Further Comments: 35 fruit bodies, compiled by Verna Tunsell","Unburnt 25 year old Eucalyptus diversicolor regrowth forest","","","","","","","","","","","","","","35","","","","Australia","Western Australia","","","June Road, Sutton Forest Block","","0","","-34.46027777777778","116.35805555555555","","50","-34.46027777777778, 116.35805555555555","","","","","GPS Device Unknown","","","","","","","","","","2018-08-23 19:17:58","6dda72d1-cc5c-4666-ae45-ffe072532cb4","105","urn:uuid:57e7654d-32e9-4418-a807-92cc5f0c4954","http://mycoportal.org/portal/collections/individual/index.php?occid=5447206"
"149040","5495106","N/A","","","HumanObservation","","GR119643","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus","15621","Locq. ex Singer","Leucoagaricus","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-03-09","2002","3","9","68","","Sat Mar 09 00:00:00 EST 2002","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Duckhole Lake","","0","","-43.366653","146.883332","","","-43.366653, 146.883332","","","","","","","","","","","","","","","2018-08-23 19:17:58","ab3d6ce4-5ec9-448b-8781-1d8095cba224","105","urn:uuid:0c66489e-f655-43bb-977f-e55df61380a7","http://mycoportal.org/portal/collections/individual/index.php?occid=5495106"
"163400","5510048","N/A","","","HumanObservation","","104918","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Pleurotaceae","Hohenbuehelia","14971","Schulzer","Hohenbuehelia","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2003-03-04","2003","3","4","63","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.699987","147.849999","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","be200a7a-7a9e-4a0d-b2ed-39240313b337","105","urn:uuid:1066e7ab-7f6c-489d-9a24-0af59c6e8c29","http://mycoportal.org/portal/collections/individual/index.php?occid=5510048"
"109137","5453584","N/A","","","HumanObservation","","","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis sulcata","143193","Overeem","Clavulinopsis","sulcata","","","","","","","","","","Black, K. Karen|null","","","questagame-23260","2016-01-25","2016","1","25","25","","","Clavulinopsis sulcata, Walumarra Track, along Bola Creek Royal National Park","","","","","","","","","","","","","","","","","","","Australia","New South Wales","","","","","0","","-34.1","151","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","7617339d-93c4-4484-bf37-40c004c2379a","105","urn:uuid:27dfa8c4-8cf2-400d-bb95-4abf406a42b3","http://mycoportal.org/portal/collections/individual/index.php?occid=5453584"
"200883","5552237","N/A","","","HumanObservation","","GR123103","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Polyporaceae","Trametes versicolor","189955","(L.) Lloyd","Trametes","versicolor","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-07-04","2002","7","4","185","","Thu Jul 04 00:00:00 EST 2002","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","North West Bay River","","0","","-42.949992","147.200005","","","-42.949992, 147.200005","","","","","","","","","","","","","","","2018-08-23 19:17:58","f477b8ea-339f-4d61-80a2-65e1f91d9292","105","urn:uuid:54e1ca53-fefb-4f17-8d7e-d3ca49dcbb30","http://mycoportal.org/portal/collections/individual/index.php?occid=5552237"
"24200","5365184","N/A","K. Murray","","HumanObservation","","4512","","","","","","","Batrachochytrium dendrobatidis","112096","Longcore, Pessier & D.K. Nichols","Batrachochytrium","dendrobatidis","","","","","","","","","","Kriger, K.","","","","","","","","","","","","","","","","","","","","Infects:Litoria chloris","","","","","","1","","","","Australia","Queensland","","","","","0","","-28.189","153.271","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","04307b4c-445a-45f4-9188-8df6343291ae","105","urn:uuid:238c7219-8014-47f6-ab3c-cc75c3237b7d","http://mycoportal.org/portal/collections/individual/index.php?occid=5365184"
"50756","5392837","N/A","","","HumanObservation","","130348","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Inocybaceae","Crepidotus variabilis","157990","(Pers.) P. Kumm.","Crepidotus","variabilis","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2010-05-11","2010","5","11","131","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.866653","147.150008","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","27c88ae5-18b3-417d-8331-8315c9fa237f","105","urn:uuid:de1f62a3-6cac-499c-8e73-87c61dda1a4c","http://mycoportal.org/portal/collections/individual/index.php?occid=5392837"
"563","173932","NY","","","PreservedSpecimen","","01193812","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Boletales","Boletaceae","Boletellus dissiliens","115506","(Corner) Pegler & T.W.K. Young","Boletellus","dissiliens","","","R. E. Halling","","","","","","","R. E. Halling","","N. Fechner","9466","2011-03-06","2011","3","6","65","","","Duplicate in BRI","Sclerophyll; <Eucalyptus, Syncarpia>","","","","","","","","","","","","","","","","","","Australia","Queensland","Wide Bay District","","Fraser Island, road from Pile Valley to Lake McKenzie.","","0","","-25.445083","153.049694","","","25 26 42.30 S 153 2 58.90 E","","","","","","107","107","","","","","","","","2015-01-08 14:04:45","1571767","3","urn:uuid:f2065c83-1d15-4447-a23e-50b78f2c9967","http://mycoportal.org/portal/collections/individual/index.php?occid=173932"
"151504","5497684","N/A","","","HumanObservation","","14110","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Inocybaceae","Tubaria rufofulva","441285","(Cleland) D.A. Reid & E. Horak","Tubaria","rufofulva","","","","","","","","","","Fungimap Recorder Number: 78","","","","2002-06-02","2002","6","2","153","","2/6/2002","Habitat: Substrate: on log Host: Further Comments: with Western Australian Naturalists' Club","","","","","","","","","","","","","","","","","","","Australia","Western Australia","","","Bridgetown: Jarrah Park, Nunn Road N of Brockman Highway","","0","","-34.029444444444444","115.97416666666666","","1000","-34.029444444444444, 115.97416666666666","","","","","GPS Device Unknown","","","","","","","","","","2018-08-23 19:17:58","ae85d51b-3dc5-4e32-a6a0-555e6b8b4032","105","urn:uuid:9836dd54-1614-48cd-81dd-4bb73ea7e279","http://mycoportal.org/portal/collections/individual/index.php?occid=5497684"
"185697","5536485","N/A","","","HumanObservation","","68086","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Russulales","Stereaceae","Stereum rugosum","313340","Pers.","Stereum","rugosum","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-07-30","2002","7","30","211","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-43.116653","146.900009","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","e07665bc-1112-4a7a-bb20-01b78bccb0ae","105","urn:uuid:c25424a8-afda-4c59-ba9b-431fd3ced671","http://mycoportal.org/portal/collections/individual/index.php?occid=5536485"
"31655","5372946","N/A","","","HumanObservation","","47229","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Mycenaceae","Mycena interrupta","185958","(Berk.) Sacc.","Mycena","interrupta","","","","","","","","","","Fungimap Recorder Number: 279","","","","2005-04-30","2005","4","30","120","","30/4/2005","Habitat: Wet sclerophyll Substrate: Host: Further Comments:","Wet sclerophyll","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Badger Gorge","","0","","-41.35","146.38333333333333","","1000","-41.35, 146.38333333333333","","","","","Map source unknown.","","","","","","200.0","","","","2018-08-23 19:17:58","0e459b93-4d53-418a-9413-87514cf8055b","105","urn:uuid:e0e31a37-15e3-4e4f-aba3-19448a0e7343","http://mycoportal.org/portal/collections/individual/index.php?occid=5372946"
"148716","5494768","N/A","","","HumanObservation","","GR120307","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus concinnus","126970","Berk.","Cantharellus","concinnus","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-04-14","2002","4","14","104","","Sun Apr 14 00:00:00 EST 2002","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","North West Bay River","","0","","-42.949992","147.200005","","","-42.949992, 147.200005","","","","","","","","","","","","","","","2018-08-23 19:17:58","aacac8fd-b2ee-460b-92c9-0fcacb937cc0","105","urn:uuid:7afd1a7e-5adf-49df-b3da-2e9aba7146c8","http://mycoportal.org/portal/collections/individual/index.php?occid=5494768"
"94473","5438343","N/A","","","HumanObservation","","13781","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Hygrophoraceae","Humidicutis lewelliniae","242311","(Kalchbr.) A.M. Young","Humidicutis","lewelliniae","","","","","","","","","","Fungimap Recorder Number: 279","","","","2000-06-17","2000","6","17","169","","17/6/2000","Habitat: wet sclerophyll Substrate: Host: Further Comments: with D. Ratkowsky","wet sclerophyll","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Reuben Falls","","0","","-43.016666666666666","146.66666666666666","","","-43.016666666666666, 146.66666666666666","","","","","Map source unknown.","","","","","","","","","","2018-08-23 19:17:58","627f8c83-8230-4655-b7a9-f298c49b4d89","105","urn:uuid:da9aede4-410c-4f1e-9fb4-e3b340275289","http://mycoportal.org/portal/collections/individual/index.php?occid=5438343"
"95709","5439628","N/A","","","HumanObservation","","128129","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Strophariaceae","Hypholoma brunneum","246724","(Massee) D.A. Reid","Hypholoma","brunneum","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2008-04-15","2008","4","15","106","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.099986","145.733335","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","64170e67-e255-44bd-9d8a-2ec434d9518a","105","urn:uuid:c6b6578a-cfdc-457a-9cc8-8fb6dd5b57d1","http://mycoportal.org/portal/collections/individual/index.php?occid=5439628"
"61332","5403865","N/A","","","HumanObservation","","1001128","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe lilaceolamellata","244339","(G. Stev.) E. Horak","Hygrocybe","lilaceolamellata","","","","","","","","","","Ratkowsky, D. David","","","","2001-08-10","2001","8","10","222","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.68333032715715","146.66666144262874","","100","472691.0, 5274296.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","360e51da-a869-4202-b5a9-cc90e3a46555","105","urn:uuid:7d2fdc0e-45d2-45eb-87c9-792af4139d5f","http://mycoportal.org/portal/collections/individual/index.php?occid=5403865"
"67621","5410388","N/A","","","HumanObservation","","GR137291","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Russulales","Russulaceae","Russula persanguinea","412436","Cleland","Russula","persanguinea","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2004-07-27","2004","7","27","209","","Tue Jul 27 00:00:00 EST 2004","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Old Farm Trail","","0","","-42.899987","147.250003","","","-42.899987, 147.250003","","","","","","","","","","","","","","","2018-08-23 19:17:58","3e8f8777-b672-4c4e-93b0-a530bf8cdbdd","105","urn:uuid:d7abe3c8-1b29-4a16-9d5e-e5473b7838d9","http://mycoportal.org/portal/collections/individual/index.php?occid=5410388"
"163576","5510232","N/A","","","HumanObservation","","106179","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria novae-zelandiae","100433","(G. Stev.) Boesew.","Armillaria","novae-zelandiae","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2003-04-25","2003","4","25","115","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-41.349991","146.916674","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","be5ff31e-871f-49d4-a604-81dc6551ad6f","105","urn:uuid:152680f7-e50e-4aff-b4d8-7be2bc777b1d","http://mycoportal.org/portal/collections/individual/index.php?occid=5510232"
"112280","5456840","N/A","","","HumanObservation","","GR117214","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Fomitopsidaceae","Postia dissecta","389894","(Cooke) Rajchenb.","Postia","dissecta","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2001-09-27","2001","9","27","270","","Thu Sep 27 00:00:00 EST 2001","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Mt. Wellington, S.E. Tracks","","0","","-42.916656","147.250009","","","-42.916656, 147.250009","","","","","","","","","","","","","","","2018-08-23 19:17:58","7a202661-f19d-44f3-875a-2638474d182e","105","urn:uuid:b64bb721-e9b3-49d6-ab67-905983796e07","http://mycoportal.org/portal/collections/individual/index.php?occid=5456840"
"209874","7246992","FR","Herbarium Senckenbergianum (FR) - Fungi","","Preserved Specimen","","26515","","Fungi","Fungi Incertae Sedis","Lecanoromycetes","Lecanorales","Cladoniaceae","Thysanothecium hookeri","540592","Mont. & Berk.","Thysanothecium","hookeri","","","","","","","","","","","","","","2009-01-23","2009","1","23","23","","2009-1-23","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","","","","","","","","","","","Australia","","","","Southern Highlands, Nowra","","0","","-35.043617","150.576383","","","","","","","","","","","","","","","","","","2019-04-24 11:39:46","26515","123","urn:uuid:0abbab65-7cb0-4898-913a-0fa949ed316b","http://mycoportal.org/portal/collections/individual/index.php?occid=7246992"
"24763","5365769","N/A","","","HumanObservation","","92565","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","19149","(Fr.) Staude","Tricholoma","","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2001-03-24","2001","3","24","83","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.06666","146.150001","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","04f8df1f-9a9f-41dc-a953-46406fd8db65","105","urn:uuid:ae0630f1-2ce7-4d83-a414-7ca72021a8ed","http://mycoportal.org/portal/collections/individual/index.php?occid=5365769"
"93779","5437625","N/A","","","HumanObservation","","17173","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Polyporales","Meruliaceae","Phlebia subceracea","187120","(Wakef.) Nakasone","Phlebia","subceracea","","","","","","","","","","Fungimap Recorder Number: 279","","","","2003-05-10","2003","5","10","130","","10/5/2003","Habitat: Wet sclerophyll Substrate: Host: Further Comments: with D Ratkowsky","Wet sclerophyll","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","Tasman Peninsula: Waterfall Bay","","0","","-43.06666666666667","147.95","","1000","-43.06666666666667, 147.95","","","","","Map source unknown.","","","","","","150.0","","","","2018-08-23 19:17:58","618cc6e0-8e0e-4a17-8c91-91d01a6a4801","105","urn:uuid:978f6d1d-8ee5-45a0-a917-f0faa51df000","http://mycoportal.org/portal/collections/individual/index.php?occid=5437625"
"86782","5430345","N/A","","","HumanObservation","","","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Mycenaceae","Mycena","16268","(Pers.) Roussel","Mycena","","","","","","","","","","","Campbell, M. Matt","","","http://www.bowerbird.org.au/obse","2015-04-18","2015","4","18","108","","","Mycena sp.","","","","","","","","","","","","","","","","","","","Australia","Victoria","","","","","0","","-38.355079","146.38728000000003","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","58516d55-8c27-4354-8819-a87e3923dff1","105","urn:uuid:07ca8b88-788d-45d3-a705-b361692a4be9","http://mycoportal.org/portal/collections/individual/index.php?occid=5430345"
"124617","5469680","N/A","","","HumanObservation","","82335","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria novae-zelandiae","100433","(G. Stev.) Boesew.","Armillaria","novae-zelandiae","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","1999-03-20","1999","3","20","79","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.699987","147.849999","","1000","","","","","","","","","","","","","","","","2018-08-23 19:17:58","8aa1c83f-0c19-4f02-a2c9-5ded5e97713d","105","urn:uuid:bf09f2e4-6d89-46a0-84fc-a9dd9c701cc1","http://mycoportal.org/portal/collections/individual/index.php?occid=5469680"
