"","id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","host","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey.dbpk","collId","recordId","references"
"68453","5411265","N/A","","","HumanObservation","","1022764","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fuscoporia wahlbergii","223076","(Fr.) T. Wagner & M. Fisch.","Fuscoporia","wahlbergii","","","","","","","","","","Ratkowsky, D. David","","","","2005-08-02","2005","8","2","214","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.93333301164649","147.35000294949833","","100","528559.0, 5246529.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","3fb546f4-551a-4f42-b1fc-579756bed098","105","urn:uuid:72a229cf-dbae-4d6e-af4e-9c2afd0ca52e","http://mycoportal.org/portal/collections/individual/index.php?occid=5411265"
"14891","6954846","iNaturalist","Observations","","Human Observation","https://www.inaturalist.org/observations/11586387","11586387","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Omphalotaceae","Omphalotus nidiformis","186450","(Berk.) O.K. Mill.","Omphalotus","nidiformis","","","","2018-04-28T07:21:03Z","","","","","","liz_k","","","","2017-03-23","2017","3","23","82","","2017/03/23 11:48 AM AEDT","Growing on a dead log. Bioluminescent.","","","","<a href='https://www.inaturalist.org/observations/11586387' target='_blank' style='color: blue;'> Original observation #11586387 (iNaturalist)</a>","","","","","","","","","","","","","","","Australia","New South Wales","","","Deanei Reserve Walking Track, Springwood NSW, Australia","","0","","-33.697476","150.57297","","20","","","","","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","preprocessed","2018-04-28 13:18:38","11586387","86","urn:uuid:6c4168e2-4bd6-41f1-ab14-37023bd32aeb","http://mycoportal.org/portal/collections/individual/index.php?occid=6954846"
"180463","5531048","N/A","","","HumanObservation","","74570","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Mycenaceae","Panellus stipticus","186616","(Bull.) P. Karst.","Panellus","stipticus","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2003-08-07","2003","8","7","219","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-43.099987","146.683338","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","d9758b6b-7979-405e-9efb-65aa502aa6d8","105","urn:uuid:157bb2fb-93ab-4f1d-bb79-d4b87b7371eb","http://mycoportal.org/portal/collections/individual/index.php?occid=5531048"
"12987","4516012","MUOB","","","Observation","","MO94737","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Strophariaceae","Hypholoma fasciculare","184363","(Huds.) P. Kumm.","Hypholoma","fasciculare","","","","","","","","","","Kari (Kari)","","","","2012-05-15","2012","5","15","136","","2012-05-15","I found clusters of these fungi growing in a denuded section of a pine forest, amongst the stumps of fallen trees. I was surprised to find so many different species of fungi in this initially unpromising location.","","","","<a href='http://mushroomobserver.org/94737' target='_blank' style='color: blue;'>Original observation #94737 (Mushroom Observer)</a>","","","","","","","","","","","","","","","Australia","South Australia","","","Kuitpo Forest","","0","","-35.2316","138.707","","","","","","","","","","","","","","","Not vouchered","","","2017-12-08 14:31:56","MO94737","36","urn:uuid:77532358-04d8-4bc3-92f3-1fd535afa465","http://mycoportal.org/portal/collections/individual/index.php?occid=4516012"
"122574","5467558","N/A","","","HumanObservation","","1056780","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Russulales","Stereaceae","Stereum hirsutum","189498","(Willd.) Pers.","Stereum","hirsutum","","","","","","","","","","Ratkowsky, D. David","","","","1999-09-30","1999","9","30","273","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.93333301164649","147.35000294949833","","100","528559.0, 5246529.0","","","","","","","","","","","","","","","2018-08-23 19:17:58","87e0eb45-9916-4dd9-8de7-9e5609dbec35","105","urn:uuid:c7203780-1a56-40b4-b9f3-4c1ff9fec8cd","http://mycoportal.org/portal/collections/individual/index.php?occid=5467558"
"144814","5490722","N/A","","","HumanObservation","","100262","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Entolomataceae","Entoloma chrysopus","181822","G.M. Gates & Noordel.","Entoloma","chrysopus","","","","","","","","","","From the records of G. Gates and D. Ratkowsky","","","","2002-04-11","2002","4","11","101","","","","","","","","","","","","","","","","","","","","","","Australia","Tasmania","","","","","0","","-42.683327","146.500002","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","a5aa2904-5ca1-4d49-8793-b586c3d84ece","105","urn:uuid:d125c961-274c-4439-8ce8-57d7f93e15be","http://mycoportal.org/portal/collections/individual/index.php?occid=5490722"
"16359","6968951","iNaturalist","Observations","","Human Observation","https://www.inaturalist.org/observations/14006291","14006291","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Mycenaceae","Mycena kurramulla","298371","Grgur.","Mycena","kurramulla","","","","2018-07-03T08:51:41Z","","","","","","Reiner Richter","","","","2018-07-02","2018","7","2","183","","2018/07/02 9:41 AM AEST","","","","","<a href='https://www.inaturalist.org/observations/14006291' target='_blank' style='color: blue;'> Original observation #14006291 (iNaturalist)</a>","","","","","","","","","","","","","","","Australia","Victoria","","","East Warburton VIC 3799, Australia","","0","","-37.75337","145.785038","","","","","","","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84","","","","","","","","","preprocessed","2018-11-16 13:24:00","14006291","86","urn:uuid:c5418578-293d-4c8d-bef6-c76b0a5f9c98","http://mycoportal.org/portal/collections/individual/index.php?occid=6968951"
"101040","5445170","N/A","","","HumanObservation","","35878","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Marasmiaceae","Omphalotus nidiformis","186450","(Berk.) O.K. Mill.","Omphalotus","nidiformis","","","","","","","","","","Fungimap Recorder Number: 297","","","","2006-04-16","2006","4","16","106","","16/4/2006","Habitat: Substrate: Host: Further Comments:","","","","","","","","","","","","","","","","","","","Australia","New South Wales","","","Blue Mountains, Blackheath, Coachwood Glen.","","0","","-35.63333333333333","150.25","","1000","-35.63333333333333, 150.25","","","","","Map source unknown.","","","","","","","","","","2018-08-23 19:17:58","6b279794-7e4b-4efd-a682-7eb90a4fcedd","105","urn:uuid:1f2c6b83-ed36-4566-b373-847761c8f896","http://mycoportal.org/portal/collections/individual/index.php?occid=5445170"
"110447","5454948","N/A","","","HumanObservation","","54107","","Fungi","Fungi Incertae Sedis","Agaricomycetes","Agaricales","Pluteaceae","Volvopluteus gloiocephalus","561573","(DC.) Vizzini, Contu & Justo","Volvopluteus","gloiocephalus","","","","","","","","","","Fungimap Recorder Number: 760","","","","2011-04-27","2011","4","27","117","","27/4/2011","Habitat: Garden bed. Substrate: Soil. Host: Further Comments:","","","","","","","","","","","","","","","","","","","Australia","Victoria","","","Frankston, George Pentland Botanic Gardens.","","0","","-38.152499999999996","145.12555555555556","","1000","-38.152499999999996, 145.12555555555556","","","","","","","","","","","","","","","2018-08-23 19:17:58","77d23c16-0a13-423c-ba4e-9dc481c85bfa","105","urn:uuid:8f4ce574-038e-4ac3-b3c2-308c2d525c90","http://mycoportal.org/portal/collections/individual/index.php?occid=5454948"
"102924","5447132","N/A","R. Speare / L. Berger","","HumanObservation","","4151","","","","","","","Batrachochytrium dendrobatidis","112096","Longcore, Pessier & D.K. Nichols","Batrachochytrium","dendrobatidis","","","","","","","","","","K. Aplin / P. Kirkpatrick","","","","","","","","","","","","","","","","","","","","Infects:Crinia insignifera","","","","","","1","","","","Australia","Western Australia","","","","","0","","-31.944","115.784","","","","","","","","","","","","","","","","","","2018-08-23 19:17:58","6dbad104-8d40-4435-afa3-73715d414b76","105","urn:uuid:3f07f761-bd73-45d1-ba7a-7259dec7b97a","http://mycoportal.org/portal/collections/individual/index.php?occid=5447132"
