"","id","Sp_no","Species.name","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","latdec_fudged","londec_fudged","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"50896",110212,170,170,43,14,0,147,23,0,43.233325,147.383332,0,0,"","LLG","1","TAS",NA,"Cape Queen Elizabeth","","","","","",21,6,2009,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"32149",91082,462,462,41,6,0,145,10,0,41.099994,145.166677,0,0,"","LLG","1","TAS",NA,"Milkshake Hills","","","","","",14,6,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"56813",116376,66,66,43,6,0,147,47,0,43.099986,147.783341,0,0,"","LLG","1","TAS",NA,"Clarks Cliffs","","","","","",5,6,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"49601",108746,211,211,42,44,0,146,25,0,42.733328,146.416667,0,0,"","LLG","1","TAS",NA,"Timbs Track","","","","","",18,4,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"27162",85888,532,532,41,9,0,145,2,0,41.149992,145.033332,0,0,"","LLG","1","TAS",NA,"Julius River Forest Reserve","","","","","",15,6,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"41137",100296,319,319,42,52,0,147,9,0,42.866653,147.150008,0,0,"","LLG","1","TAS",NA,"Myrtle Forest","","","","","",28,4,2005,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"27528",86258,529,529,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",7,11,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"20700",79377,735,735,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",29,6,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"7501",66059,1776,1776,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",5,12,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"21368",80048,717,717,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",19,7,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"54857",114357,82,82,42,52,0,147,9,0,42.866653,147.150008,0,0,"","LLG","1","TAS",NA,"Myrtle Forest","","","","","",1,7,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"15874",74534,1171,1171,42,52,0,147,9,0,42.866653,147.150008,0,0,"","LLG","1","TAS",NA,"Myrtle Forest","","","","","",14,3,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"2365",12547,75,75,42,55,0,147,15,0,-42.91666667,147.25,NA,NA,"500","LLU","","TAS",NA,"Mount Wellington tracks","wet sclerophyll and gully communities","","","","",12,8,1999,"","",3,"N","N",1,"","",NA,NA,NA,NA,"11/12/02","GE","S","",NA,"with D. Ratkowsky",NA,NA,"",NA,NA,2,279,NA,NA,NA
"41442",100680,318,318,42,50,0,146,16,0,42.833326,146.266673,0,0,"","LLG","1","TAS",NA,"Wedge Forest Reserve","","","","","",21,4,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"11555",70009,1639,1639,42,41,0,146,30,0,42.683327,146.500002,0,0,"","LLG","1","TAS",NA,"Growling Swallet","","","","","",17,2,2005,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"11706",70160,1639,1639,42,57,0,147,12,0,42.949992,147.200005,0,0,"","LLG","1","TAS",NA,"North West Bay River","","","","","",1,5,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
