"","Record.ID","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Precision","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Local.Government.Areas","IMCRA.4.Regions","IBRA.7.Regions","Maximum.elevation.in.meters","Minimum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Collector","Year","Month","Day","Event.Date...parsed","Verbatim.event.date","Basis.Of.Record...original","Basis.Of.Record","Occurrence.status","Sex","Preparations","Outlier.for.layer","Taxonomic.Quality","Location.Quality"
"31059","f1082e4d-8e8e-43de-bf28-b69d97e65a4a","6078850.00","NZOR-4-89340","Delisea pulchra","","Delisea pulchra","species","","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Roccellaceae","Delisea","Delisea pulchra","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY","","","Howe Border",-37.5071,149.979,"GDA94",-37.507,149.979,NA,50,"Australia","Victoria","","Southeast Shelf Transition","",NA,NA,NA,NA,"","",2004,3,20,"2004-03-20","","","HumanObservation","present","","","","true","true"
"2672","ff53345c-3073-4365-8db8-42a46e4af551","GR139241","NZOR-4-115221","Stereum ostrea","","Stereum versicolor","species","","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum versicolor","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Warra SST",-43.099987,146.683338,"EPSG:4326",-43.099987,146.683338,NA,NA,"Australia","Tasmania","Huon Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2005,3,8,"2005-03-08","Tue Mar 08 00:00:00 EST 2005","HumanObservation","HumanObservation","present","","","","true","true"
"126695","ad2e15d9-04c6-43e9-b334-8e77338354ef","CANB 746398.1","NZOR-4-34107","Psoroma Ach. ex Michx.","","Psoroma","genus","","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Psoroma","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Alpine National Park, Bogong High Plains, Basalt Hills, 20 km SE of Mt Beauty.",-36.8833,147.3,"",-36.8833,147.3,NA,1000,"Australia","Victoria","Alpine (S)","","Australian Alps",1650,1650,NA,NA,"","Elix, J.A.",1994,2,17,"1994-02-17","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"58048","dc9b07e3-fe14-4712-9774-e9a022eda654","98313","urn:lsid:indexfungorum.org:names:18018","Marasmius ""angina""","","Marasmius","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Wellington, S.E. Tracks",-42.916656,147.250009,"",-42.916656,147.250009,NA,NA,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2001,12,18,"2001-12-18","","Observation","HumanObservation","present","","","","true","true"
"320358","15daa26e-8d82-4e0e-a0a0-83f12342fa67","CANB 894635.1","urn:lsid:indexfungorum.org:names:90502","Caliciales","","Teloschistales","order","","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","","","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Tomaga River Estuary, 15 km SE of Batemans Bay.",-35.8,150.15,"",-35.8,150.15,NA,1000,"Australia","New South Wales","Eurobodalla (A)","","South East Corner",1,1,NA,NA,"","Johnston, J.",1988,8,4,"1988-08-04","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"117312","dd4c0eb4-f186-4d6d-b50d-e1fffc734bfd","CANB 228126.1","NZOR-4-24705","Heterodea beaugleholei Filson","","Heterodea beaugleholei","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Heterodeaceae","Heterodea","Heterodea beaugleholei","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","About 5 miles [8 km] W of Cootamundra.",-34.6667,147.9667,"",-34.6667,147.9667,NA,5000,"Australia","New South Wales","Cootamundra (A)","","NSW South Western Slopes",NA,NA,NA,NA,"","Dahl, E.",1970,4,29,"1970-04-29","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"335678","70ad7301-16db-48e8-b968-617591d52ecc","GR110384","1d9a1012-6e57-4fd0-8f00-ea10b2d62ecf","Psilocybe subaeruginosa","","Psilocybe subaeruginosa","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Psilocybe","Psilocybe subaeruginosa","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Wellington, S.E. Tracks",-42.916656,147.250009,"EPSG:4326",-42.916656,147.250009,NA,NA,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2000,7,18,"2000-07-18","Tue Jul 18 00:00:00 EST 2000","HumanObservation","HumanObservation","present","","","","true","true"
"132972","a43bbdc6-a2c6-4b5a-9917-0d2943629580","BRI AQ0863371","NZOR-4-76043","Caloplaca cerina (Ehrh.) Th.Fr.","","Caloplaca cerina","species","","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae","Caloplaca","Caloplaca cerina","","dr2287","BRI AVH data","in42","Queensland Department of Environment and Science","co49","Queensland Herbarium","CC-BY 3.0 (Au)","BRI","Herbrecs","IN ROTARY PARK, BESIDE WARREGO HIGHWAY IN DALBY.",-27.18305556,151.26055556,"GDA94",-27.1830555592,151.26055556,NA,100,"Australia","Queensland","Western Downs (R)","","Brigalow Belt South",NA,NA,NA,NA,"","Rogers, R.W.",2012,11,26,"2012-11-26","2012-11-26","PreservedSpecimen","PreservedSpecimen","present","","sheet","","true","true"
"390815","6a80dcf2-21e1-46ba-ba5f-2db57ef0ff56","60215","NZOR-4-99164","Stereum vellereum","","Stereum vellereum","species","","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum vellereum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Long Back Woodland Section, Western Explorer Highway about 8 km north of Savage River Bridge crossing",-42.983326,147.950002,"",-42.983326,147.950002,NA,NA,"Australia","Tasmania","Tasman (M)","","Tasmanian South East",NA,NA,NA,NA,"","Fungimap Recorder Number:",2012,5,2,"2012-05-02","2/5/2012","HumanObservation","HumanObservation","present","","","","true","true"
"289449","1fdb5fb7-bb9e-4254-a3a4-2ea1ff5a92dd","MEL 2107760A","urn:lsid:indexfungorum.org:names:17639","Ganoderma webarianum","","Ganoderma","genus","","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Track between Rocky Run & Boat Harbour.",-31.5333,159.0833,"",-31.5333,159.0833,NA,10000,"Australia","New South Wales","","Lord Howe Province","",NA,NA,NA,NA,"","Beauglehole, A.C.",1963,9,16,"1963-09-16","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","false"
"141537","69d6e14d-b040-481b-b4af-a698c3e0aa44","MEL 0025250B","NZOR-4-17474","Diplotomma alboatrum","","Diplotomma alboatrum","species","","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Physciaceae","Diplotomma","Diplotomma alboatrum","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Nullarbor Plains. 11 miles north-west of Nullarbor Homestead.",-31.3167,130.7833,"",-31.3167,130.7833,NA,10000,"Australia","South Australia","Unincorporated SA","","Nullarbor",NA,NA,NA,NA,"","Filson, R.B.",1967,1,11,"1967-01-11","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"139041","c870d0e4-d673-44e2-8a18-ef6464bf2aeb","132876","NZOR-4-19894","Hygrocybe firma","","Hygrocybe firma","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Hygrocybe","Hygrocybe firma","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Dismal Swamp",-40.949987,144.850004,"",-40.949987,144.850004,NA,NA,"Australia","Tasmania","Circular Head (M)","","King",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",NA,NA,NA,"","","Observation","HumanObservation","present","","","","true","true"
