"","Record.ID","Catalogue.Number","Taxon.Concept.GUID","Scientific.Name...original","Vernacular.name...original","Scientific.Name","Taxon.Rank","Vernacular.name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data.Resource.ID","Data.Resource.Name","Institution.ID","Institution","Collection.ID","Collection","Licence","Institution.Code","Collection.Code","Locality","Latitude...original","Longitude...original","Geodetic.datum...original","Latitude","Longitude","Coordinate.Precision","Coordinate.Uncertainty.in.Metres","Country...parsed","State...parsed","Local.Government.Areas","IMCRA.4.Regions","IBRA.7.Regions","Maximum.elevation.in.meters","Minimum.elevation.in.meters","Minimum.depth.in.meters","Maximum.depth.in.meters","Individual.count","Collector","Year","Month","Day","Event.Date...parsed","Verbatim.event.date","Basis.Of.Record...original","Basis.Of.Record","Occurrence.status","Sex","Preparations","Outlier.for.layer","Taxonomic.Quality","Location.Quality"
"3092","fe5ab01d-b6bd-476c-bb97-d28dcbf02855","986668","urn:lsid:catalogueoflife.org:taxon:913acb13-e478-11e5-86e7-bc764e092680:col20161028","Collybia eucalyptorum","","Collybia eucalyptorum","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Collybia","Collybia eucalyptorum","","dr710","Tasmanian Natural Values Atlas","","","","","CC-BY","","","",-43.0999957428215,147.783336922101,"EPSG:4326",-43.0999957428215,147.783336922101,NA,100,"Australia","Tasmania","Tasman (M)","","Tasmanian South East",NA,NA,NA,NA,"","David Ratkowsky (2589),G Gates (7518)",2004,3,12,"2004-03-12","","Sighting","HumanObservation","present","","","","true","true"
"179399","8aa76832-347c-40a6-882b-f6c3169b2647","CBG 66968.1","NZOR-4-104292","Xanthoparmelia flavescentireagens (Gyeln.) D.J.Galloway","","Xanthoparmelia flavescentireagens","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Xanthoparmelia","Xanthoparmelia flavescentireagens","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CBG","Mt Murray, Bimberi Range, 52 km SW of Canberra.",-35.6833,148.7833,"",-35.6833,148.7833,NA,1000,"Australia","New South Wales","Tumut Shire (A)","","Australian Alps",1845,1845,NA,NA,"","Streimann, H.",1977,2,2,"1977-02-02","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"221770","5546d6eb-cb2e-42a3-95f3-689f2c274867","CANB 774307.1","NZOR-4-130030","Graphidaceae Dumort.","","Graphidaceae","family","","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Koombooloomba Dam. Near Weir.",-17.8333,145.6,"",-17.8333,145.6,NA,2000,"Australia","Queensland","Tablelands (R)","","Wet Tropics",NA,NA,NA,NA,"","Ewers, W.H.",1991,9,23,"1991-09-23","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"39060","e63947f2-c4a3-4bfe-86ad-84cd8b124434","PERTH 6984967","NZOR-4-99082","Flavoparmelia soredians (Nyl.) Hale","","Flavoparmelia soredians","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Flavoparmelia","Flavoparmelia soredians","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Mount Henry",-32.02333333,115.86833333,"GDA94",-32.0233333292,115.86833333,NA,3000,"Australia","Western Australia","South Perth (C)","","Swan Coastal Plain",NA,NA,NA,NA,"","Sammy, N.",1980,9,2,"1980-09-02","2 Sep 1980","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"376668","5c027cb2-988f-4a50-9042-b08d34974b09","93960","NZOR-4-65738","Entoloma viridomarginatum","","Entoloma viridomarginatum","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma viridomarginatum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Growling Swallet",-42.683327,146.500002,"",-42.683327,146.500002,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",NA,NA,NA,"","","Observation","HumanObservation","present","","","","true","true"
"266180","50c9391f-21d0-420f-a398-1e918e1155bd","HO 528757","NZOR-4-86715","Coccotrema ? porinopsis (Nyl.) Imshaug ex Yoshim.","","Coccotrema porinopsis","species","","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Coccotremataceae","Coccotrema","Coccotrema porinopsis","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","South Sister, near summit",-41.533333,148.166667,"EPSG:4202",-41.531935,148.167672,NA,50,"Australia","Tasmania","Break O'Day (M)","","Ben Lomond",NA,NA,NA,NA,"","Kantvilas, G.",2004,11,11,"2004-11-11","11 Nov 2004","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"19625","f2c71b4c-2a01-40d4-a16b-5f6adb509698","","urn:lsid:indexfungorum.org:names:18084","Mycena (Pers.) Roussel","","Mycena","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","","","dr1902","Questagame weekly feed","","","","","CC-BY-NC","","","",-26.8,152.9,"WGS84",-26.8,152.9,NA,NA,"Australia","Queensland","Sunshine Coast (R)","","South Eastern Queensland",NA,NA,NA,NA,"","The Myall Mob|questagame.com",2016,2,7,"2016-02-07","","","HumanObservation","present","","","","true","false"
"2288","fdcda0d5-e4c4-496e-af6e-16e435732075","MEL 0228745A","2ff0465c-fb44-4918-9811-b5101e62c512","Trametes versicolor","","Trametes versicolor","species","Turkeytail","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Trametes versicolor","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Bass Strait. Deal Island, Kent Group.",-39.4667,147.35,"",-39.4667,147.35,NA,10000,"Australia","Tasmania","Flinders (M)","","Furneaux",NA,NA,NA,NA,"","Garreau, C.A.",1957,8,8,"1957-08-08","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"144260","a2c25f64-281b-4b2c-9749-87369cbdd4ab","HO 588834","NZOR-4-80835","Dibaeis  arcuata (Stirt.) Kalb & Gierl","","Dibaeis arcuata","species","","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis","Dibaeis arcuata","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Mt Wedge",-42.85,146.3,"EPSG:4202",-42.848627,146.301055,NA,50,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian West",NA,NA,NA,NA,"","Kantvilas, G.",2017,10,7,"2017-10-07","7 Oct 2017","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"233507","4edec203-3c99-4cb2-861e-02bd2297a1ce","CANB 766391.1","urn:lsid:indexfungorum.org:names:320","Arthonia Ach.","","Arthonia","genus","","Fungi","Ascomycota","Arthoniomycetes","Arthoniales","Arthoniaceae","Arthonia","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Near the Boulders, Boulders Road. Babinda.",-17.3333,145.8667,"",-17.3333,145.8667,NA,2000,"Australia","Queensland","Cairns (R)","","Wet Tropics",NA,NA,NA,NA,"","Ewers, W.H.",1991,9,22,"1991-09-22","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","false"
"189555","7c630b14-a5fd-40f7-b201-47255221e661","PERTH 7671911","urn:lsid:indexfungorum.org:names:18378","Psathyrella sp.","","Psathyrella","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Perry Lakes",-31.95,115.78333333,"GDA94",-31.9499999992,115.78333333,NA,10000,"Australia","Western Australia","Nedlands (C)","","Swan Coastal Plain",NA,NA,NA,NA,"","Matheny, P.B.",2001,8,7,"2001-08-07","7 Aug 2001","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"337801","887590be-1083-4763-9bc0-ef485d655ec7","CANB 628184.1","05062985-3b4a-4a8a-8c9a-ddc5b15b4c44","Dermocybe globuliformis (Bougher) Bougher & Trappe","","Cortinarius globuliformis","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius globuliformis","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Alpine National Park, Black Mountain Road, 7.6 km E Junction Rams Horn Track. AWC Site 82.",-36.925,148.1972,"",-36.925,148.1972,NA,50,"Australia","Victoria","East Gippsland (S)","","Australian Alps",1400,1400,NA,NA,"","Claridge, A.W.",1999,5,17,"1999-05-17","","PreservedSpecimen","PreservedSpecimen","present","","vertical","","true","true"
"252928","4d85767c-007a-4c00-9aac-e50e62d9d82c","MEL 2322435A","NZOR-4-28250","Cladonia","","Cladonia","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","[Cathedral Range. Lat/Long is for State Park].",-37.3667,145.75,"",-37.3667,145.75,NA,10000,"Australia","Victoria","Murrindindi (S)","","South Eastern Highlands",NA,NA,NA,NA,"","Clifford, H.T.",1950,8,30,"1950-08-30","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"28181","e005b856-3d6f-4255-a729-91d8d56fa4d0","MEL 2030048A","NZOR-4-23127","Flavodon flavus","","Flavodon flavus","species","","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Irpex","Flavodon flavus","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Cathedral Range State Park, walking track on W side of Little River.",-37.3833,145.75,"",-37.3833,145.75,NA,10000,"Australia","Victoria","Murrindindi (S)","","South Eastern Highlands",330,330,NA,NA,"","Sinnott, N.H.",1994,1,23,"1994-01-23","","PreservedSpecimen","PreservedSpecimen","present","","packet","el887","true","true"
"145818","9eb4efdb-aede-4c3b-80af-e2674ac7a5a8","HO 40790","NZOR-4-120927","Cladonia  ramulosa (With.) J.R.Laundon","","Cladonia ramulosa","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","Cladonia ramulosa","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Fern Tree - Fern Glade Tracks",-42.916667,147.25,"",-42.916667,147.25,NA,1000,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","Bratt, G.C.",1975,12,30,"1975-12-30","30 Dec 1975","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"216722","a447ae54-f6e2-4b73-8ae7-d946d4287f7d","102548","2ac72176-1e7d-4be9-89fe-4a3fa761eb6e","Tremella fuciformis","","Tremella fuciformis","species","","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","Tremella fuciformis","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Wielangta",-42.699987,147.849999,"",-42.699987,147.849999,NA,NA,"Australia","Tasmania","Glamorgan/Spring Bay (M)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2002,6,20,"2002-06-20","","Observation","HumanObservation","present","","","","true","true"
"337060","700e5e4e-0c0b-45fc-84bd-7de8fd7f0a76","GR136028","225813f5-a4c6-4e4b-8c4a-a0a2f7c66b08","Descolea phlebophora","","Descolea phlebophora","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Descolea","Descolea phlebophora","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Ralphs Falls",-41.299989,147.85001,"EPSG:4326",-41.299989,147.85001,NA,NA,"Australia","Tasmania","Dorset (M)","","Ben Lomond",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2004,6,8,"2004-06-08","Tue Jun 08 00:00:00 EST 2004","HumanObservation","HumanObservation","present","","","el887","true","true"
"80364","deb381fd-3c9f-4e55-9402-35026ab0fbdf","PERTH 7595255","urn:lsid:indexfungorum.org:names:18493","Russula sp.","","Russula","genus","","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Dryandra State Forest, Firetower Slope",-32.8,116.88333333,"GDA94",-32.7999999991,116.88333333,NA,10000,"Australia","Western Australia","Williams (S)","","Jarrah Forest",NA,NA,NA,NA,"","Griffiths, K. | Bougher, N.L.",1993,6,7,"1993-06-07","7 Jun 1993","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"384897","83a21680-07d4-44cd-abf6-e881faa37add","AD-C 03473","urn:lsid:indexfungorum.org:names:17045","Amanita ?pantherina (DC. : Fr.) Secr.","","Amanita","genus","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","","","dr376","MEL AVH data","in41","Department of Environment, Water and Natural Resources","co48","State Herbarium of South Australia","CC-BY 3.0 (Au)","AD","AD-C","Milson Island",-33.516667,151.175,"AGD84",-33.5152957119,151.1759341404,NA,10000,"Australia","New South Wales","Hornsby (A)","","Sydney Basin",NA,NA,NA,NA,"","Cleland, J.B.",1915,4,18,"1915-04-18","18 Apr 1915","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"357548","0477c6ce-9e0e-4cb2-8086-eb19e9633dd1","GR131332","urn:lsid:indexfungorum.org:names:2049","Geoglossum sp.","","Geoglossum","genus","","Fungi","Ascomycota","Leotiomycetes","Geoglossales","Geoglossaceae","Geoglossum","","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Field, Falls Loop",-42.683323,146.7,"EPSG:4326",-42.683323,146.7,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2003,10,14,"2003-10-14","Tue Oct 14 00:00:00 EST 2003","HumanObservation","HumanObservation","present","","","","true","true"
"320523","019a7cfc-2bea-4bdc-827d-cf8c689bcf1b","PERTH 8941092","NZOR-4-28250","Cladonia aff. scabriuscula","","Cladonia","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia","","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Crusoe Beach (inlet), 15 km S of Denmark",-34.984833,117.427417,"GDA94",-34.9848329991,117.427417,NA,100,"Australia","Western Australia","Denmark (S)","","Warren",NA,NA,NA,NA,"","Cranfield, R.J.",2007,9,21,"2007-09-21","21 Sep 2007","PreservedSpecimen","PreservedSpecimen","present","","","","true","true"
"192578","bf77749c-d936-45b6-bc3c-a7643e66ef59","CANB 569560.1","urn:lsid:indexfungorum.org:names:17816","Hymenochaete Lev.","","Hymenochaete","genus","","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaete","","","dr376","MEL AVH data","in5","Centre for Australian National Biodiversity Research","co12","Australian National Herbarium","CC-BY 3.0 (Au)","CANB","CANB","Emily Bay.",-29.0597,167.9597,"",-29.0597,167.9597,NA,50,"Australia","","","Norfolk Island Province","Pacific Subtropical Islands",5,5,NA,NA,"","Lepp, H.",1997,5,18,"1997-05-18","","PreservedSpecimen","PreservedSpecimen","present","","boxed","","true","true"
"150697","c2c3a079-cb07-47c4-a44b-1abc835f2964","PC0040657","NZOR-4-130988","Nephroma plumbeum","","Nephroma plumbeum","species","","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Nephromataceae","Nephroma","Nephroma plumbeum","","dr695","GBIF records","","","","","other","MNHN","pc","",NA,NA,"",NA,NA,NA,NA,"Australia","","","","",NA,NA,NA,NA,"","Gunn Ronald Campbell",NA,NA,NA,"","","S","PreservedSpecimen","present","","","","true",""
"451664","17ac0ebd-ddbf-4235-ba4c-ad79a961f466","MEL 2292293A","urn:lsid:indexfungorum.org:names:18338","Polystictus brunneoluteus","","Polystictus","genus","","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Polystictus","","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Fern Tree Gully [= Ferntree Gully].",-37.8667,145.3,"",-37.8667,145.3,NA,10000,"Australia","Victoria","Knox (C)","","South Eastern Highlands",NA,NA,NA,NA,"","Simmons, E.J.S.",1924,NA,NA,"1924-01-01","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"110075","b8b06304-9bdc-4fd8-965d-12e6aa71b89a","L-061514","NZOR-4-116115","Thamnolia vermicularis","","Thamnolia vermicularis","species","","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Thamnolia","Thamnolia vermicularis","","dr695","GBIF records","","","","","other","UPS","BOT","Basalt Hill, Alpine National Park, Bogong High Plains, 20 km south-east of  Mt. Beauty.",NA,NA,"",NA,NA,NA,NA,"Australia","","","","",NA,NA,NA,NA,"","Elix, J,A.; Streimann, H.",1994,2,17,"1994-02-17","","preserved specimen","PreservedSpecimen","present","","","","true",""
"385622","6ebbb290-9ace-471d-8187-3480f0750b6b","11030","71a93ba1-ad36-4fa1-a8b1-39ed17f3f865","Agaricus xanthodermus","","Agaricus xanthodermus","species","Yellowing Mushroom","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus xanthodermus","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Montmorency: Rattray Road",-37.7197222222222,145.117777777778,"EPSG:4326",-37.7197222222222,145.117777777778,NA,1000,"Australia","Victoria","Banyule (C)","","South Eastern Highlands",NA,NA,NA,NA,"1","Fungimap Recorder Number: 143",2001,5,30,"2001-05-30","30/5/2001","HumanObservation","HumanObservation","present","","","","true","true"
"477352","3fcf6d85-c30b-4b9d-91fa-1116e2cded7a","MEL 0040098A","NZOR-4-63312","Psoroma fruticulosum","","Psoroma fruticulosum","species","","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae","Psoroma","Psoroma fruticulosum","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Behind Wilkinson Memorial Lodge, Bogong High Plains.",-36.9,147.3,"",-36.9,147.3,NA,10000,"Australia","Victoria","East Gippsland (S)","","Australian Alps",1615.44,1615.44,NA,NA,"","Filson, R.B.",1964,4,27,"1964-04-27","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"434064","4bf47571-052b-42db-a46f-19985457f029","107585","6d228cc4-c3d3-4ef5-86ab-04d3abf94a68","Entoloma fuligineoviolaceum","","Entoloma fuligineoviolaceum","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma fuligineoviolaceum","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Junee Caves",-42.733322,146.600004,"",-42.733322,146.600004,NA,NA,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2003,5,24,"2003-05-24","","Observation","HumanObservation","present","","","","true","true"
"203003","79e37e31-3c86-4317-bd18-a3a0482a5252","HO 38969","NZOR-4-132462","Pseudephebe  pubescens (L.) M.Choisy","","Pseudephebe pubescens","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Pseudephebe","Pseudephebe pubescens","","dr10574","HO AVH data","in25","Tasmanian Museum and Art Gallery","co60","Tasmanian Herbarium","CC-BY 3.0 (Au)","HO","HO","Rock outcrops near Newdegate Pass",-42.666667,146.55,"",-42.666667,146.55,NA,1000,"Australia","Tasmania","Derwent Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","Bratt, G.C.",1971,12,18,"1971-12-18","18 Dec 1971","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"149032","b70d5bf2-87cb-4956-9e98-17eac19dceae","24340","24431b50-d72d-420f-9434-60e4e7edf351","Stephanospora flava","","Stephanospora flava","species","","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stephanosporaceae","Stephanospora","Stephanospora flava","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Murrangowar Forest Management Block, Morrisons Track, 0.4km N of Junction with Rocky Jack Divide Track. Site R13.",-37.5941666666667,148.663888888889,"EPSG:4326",-37.5941666666667,148.663888888889,NA,NA,"Australia","Victoria","East Gippsland (S)","","South East Corner",NA,NA,NA,NA,"","Fungimap Recorder Number: 903",1996,3,1,"1996-03-01","1/3/1996","HumanObservation","HumanObservation","present","","","","true","true"
"473822","25a3a848-3b64-42e2-9af6-131ac7dc80e3","MEL 2362086A","70a1b17c-e7c0-44f4-a130-61af8a4b782b","Lactarius eucalypti","","Lactarius eucalypti","species","","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius eucalypti","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Corinna Road c. 500-800 m N of the Pieman River, Tarkine.",-41.6486111111,145.0844444444,"WGS84",-41.6486111111,145.0844444444,NA,1000,"Australia","Tasmania","Waratah/Wynyard (M)","","Tasmanian West",NA,NA,NA,NA,"","Syme, K.",2012,5,2,"2012-05-02","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"204135","bb798a50-99b8-4b6f-bcb8-8c2a62b5e5f4","MEL 1027905A","NZOR-4-29331","Neophyllis melacarpa","","Neophyllis melacarpa","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Sphaerophoraceae","Neophyllis","Neophyllis melacarpa","","dr376","MEL AVH data","in21","Royal Botanic Gardens Victoria","co55","National Herbarium of Victoria","CC-BY 3.0 (Au)","MEL","MEL","Cumberland Falls Reserve.",-37.5667,145.8667,"",-37.5667,145.8667,NA,10000,"Australia","Victoria","Yarra Ranges (S)","","South Eastern Highlands",NA,NA,NA,NA,"","Filson, R.B.",1974,5,24,"1974-05-24","","PreservedSpecimen","PreservedSpecimen","present","","packet","","true","true"
"222839","be72f8f6-390b-41a9-aae8-141303137eb0","60081","ea84b60c-fe2a-41cb-b52d-8fc1bd579ac5","Clavaria zollingeri","","Clavaria zollingeri","species","Violet Coral","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavaria","Clavaria zollingeri","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Philosopher Falls",-43.14999,146.783339,"",-43.14999,146.783339,NA,NA,"Australia","Tasmania","Huon Valley (M)","","Tasmanian Southern Ranges",NA,NA,NA,NA,"","Fungimap Recorder Number:",2006,4,23,"2006-04-23","23/4/2006","HumanObservation","HumanObservation","present","","","","true","true"
"492089","2017fb7c-1c08-4736-9081-aadf460f6c11","4322-2","urn:lsid:indexfungorum.org:names:3661","Oxydothis saltuensis K.D. Hyde","","Oxydothis","genus","","Fungi","Ascomycota","Sordariomycetes","Xylariales","","Oxydothis","","","dr695","GBIF records","","","","","other","HKU","HKU(M)","AUSTRALIA, Queensland, Brampston Beach",-16.9,145.7,"",-16.9,145.7,NA,NA,"Australia","Queensland","Cairns (R)","","Wet Tropics",NA,NA,NA,NA,"","Joanne E. Taylor; Kevin D. Hyde",1995,4,16,"1995-04-16","","S","PreservedSpecimen","present","","","","true","true"
"290732","85c0b026-1794-4d4a-88f9-8755957745a9","BRI AQ0688744","NZOR-4-56265","Lecidea","","Lecidea","genus","","Fungi","Ascomycota","Lecanoromycetes","Lecideales","Lecideaceae","Lecidea","","","dr2287","BRI AVH data","in42","Queensland Department of Environment and Science","co49","Queensland Herbarium","CC-BY 3.0 (Au)","BRI","Herbrecs","BENNETS ROAD, MOUNT GLORIOUS",-27.3083333333,152.725,"AGD66",-27.3068744302,152.7257953634,NA,1600,"Australia","Queensland","Somerset (R)","","South Eastern Queensland",NA,NA,NA,NA,"","Rogers, R.W.",1986,7,31,"1986-07-31","1986-07-31","PreservedSpecimen","PreservedSpecimen","present","","sheet","","true","true"
"139972","d0a26f4e-7df6-48d3-93f6-952ea39b2104","PERTH 6081932","NZOR-4-65859","Calvatia lilacina","","Calvatia lilacina sensu","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Calvatia","Calvatia lilacina","","dr376","MEL AVH data","in33","Western Australia, Department of Biodiversity, Conservation and Attractions","co75","Western Australian Herbarium","CC-BY 3.0 (Au)","PERTH","PERTH","Padbury Avenue, Herne Hill, just E of junction with Railway Parade, N verge",-31.8,116.03333333,"GDA94",-31.7999999992,116.03333333,NA,10000,"Australia","Western Australia","Swan (C)","","Swan Coastal Plain",NA,NA,NA,NA,"","Patrick, S.",2002,5,31,"2002-05-31","31 May 2002","PreservedSpecimen","PreservedSpecimen","present","","","el882","true","true"
"409267","4116369d-7b07-45fc-adeb-08dbec6550c4","BRIP 37742 a","NZOR-4-57033","Colletotrichum gloeosporioides (Penz.) Penz. & Sacc.","","Colletotrichum gloeosporioides","species","","Fungi","Ascomycota","Sordariomycetes","","Glomerellaceae","Colletotrichum","Colletotrichum gloeosporioides","","dr743","Records of the Queensland Plant Pathology Herbarium","in43","Queensland Department of Agriculture and Fisheries","co53","Queensland Plant Pathology Herbarium (BRIP)","CC-BY-NC","","BRIP","Mount Pluto",-20.3,148.41,"",-20.3,148.41,NA,NA,"Australia","Queensland","Whitsunday (R)","","Central Mackay Coast",NA,NA,NA,NA,"","Chakraborty, S.",NA,NA,NA,"","","","","present","","","","true","true"
"121758","a5d1c58b-8039-451c-b430-11b8bcd84ebf","GR143547","1acb3faf-3e7d-4a79-b12d-e0ae11e5dbfa","Mycena vinacea","","Mycena vinacea","species","","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Mycena vinacea","","dr711","Fungimap","","","","","CC-BY 4.0 (Int)","","","Mt. Wellington, S.E. Tracks",-42.916656,147.250009,"EPSG:4326",-42.916656,147.250009,NA,NA,"Australia","Tasmania","Hobart (C)","","Tasmanian South East",NA,NA,NA,NA,"","From the records of G. Gates and D. Ratkowsky",2005,9,13,"2005-09-13","Tue Sep 13 00:00:00 EST 2005","HumanObservation","HumanObservation","present","","","","true","false"
"426089","2b00da79-1146-44e4-8eab-68a29c61d160","","NZOR-4-30192","Usnea baileyi","","Usnea baileyi","species","","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Usnea","Usnea baileyi","","dr1132","WildNet - Queensland Wildlife Data","","","","","CC-BY","Department of Science, Information Technology and Innovation","","MALENY, MARY CAIRNCROSS PARK ROAD",-26.79007435,152.892731,"",-26.79007435,152.892731,NA,1600,"Australia","Queensland","Sunshine Coast (R)","","South Eastern Queensland",NA,NA,NA,NA,"","",1988,7,16,"1988-07-16","","","","present","","","","true","true"
